A.  .closed_3_body.Last_Run.TIME (sec)
B.  .closed_3_body.Last_Run.joint1_MEA_1.Q (deg/sec**2)
C.  .closed_3_body.Last_Run.joint2_MEA_1.Q (deg/sec**2)
D.  .closed_3_body.Last_Run.joint3_MEA_1.Q (deg/sec**2)

       A               B               C               D         
 0.000000E+00    0.000000E+00    0.000000E+00   -2.809164E+03   
 5.000000E-03    0.000000E+00    0.000000E+00   -2.808162E+03   
 1.000000E-02    0.000000E+00    0.000000E+00   -2.805173E+03   
 1.500000E-02    0.000000E+00    0.000000E+00   -2.800172E+03   
 2.000000E-02    0.000000E+00    4.062968E-10   -2.793104E+03   
 2.500000E-02    0.000000E+00   -6.395714E-10   -2.783967E+03   
 3.000000E-02    0.000000E+00    3.680283E-10   -2.772711E+03   
 3.500000E-02    0.000000E+00    0.000000E+00   -2.759269E+03   
 4.000000E-02   -1.017777E-10    0.000000E+00   -2.743574E+03   
 4.500000E-02   -1.091057E-10    0.000000E+00   -2.725547E+03   
 5.000000E-02   -1.978559E-10    0.000000E+00   -2.705104E+03   
 5.500000E-02   -2.287964E-10    0.000000E+00   -2.682152E+03   
 6.000000E-02   -3.142897E-10    1.229475E-10   -2.656593E+03   
 6.500000E-02   -4.030399E-10    1.433031E-10   -2.628322E+03   
 7.000000E-02   -5.569278E-10    1.954133E-10   -2.597233E+03   
 7.500000E-02    3.783690E-09   -1.461936E-09   -2.563216E+03   
 8.000000E-02   -2.272901E-09    8.773242E-10   -2.526159E+03   
 8.500000E-02    5.703625E-10   -2.182115E-10   -2.485951E+03   
 9.000000E-02    0.000000E+00    0.000000E+00   -2.442484E+03   
 9.500000E-02    0.000000E+00    0.000000E+00   -2.395652E+03   
 1.000000E-01    0.000000E+00    0.000000E+00   -2.345357E+03   
 1.050000E-01    0.000000E+00    0.000000E+00   -2.291504E+03   
 1.100000E-01    0.000000E+00    0.000000E+00   -2.234012E+03   
 1.150000E-01    0.000000E+00    0.000000E+00   -2.172808E+03   
 1.200000E-01    0.000000E+00    0.000000E+00   -2.107833E+03   
 1.250000E-01    0.000000E+00    0.000000E+00   -2.039043E+03   
 1.300000E-01    0.000000E+00    0.000000E+00   -1.966409E+03   
 1.350000E-01    0.000000E+00    0.000000E+00   -1.889922E+03   
 1.400000E-01   -3.109514E-09    7.078642E-09   -1.809591E+03   
 1.450000E-01    3.242028E-09   -7.655926E-09   -1.725449E+03   
 1.500000E-01    1.823857E-10   -1.174515E-10   -1.637548E+03   
 1.550000E-01    9.894833E-10   -1.824264E-09   -1.545967E+03   
 1.600000E-01    1.173905E-09   -1.864975E-09   -1.450806E+03   
 1.650000E-01   -4.423668E-09    7.858667E-09   -1.352192E+03   
 1.700000E-01    2.594722E-09   -4.658978E-09   -1.250275E+03   
 1.750000E-01   -6.434389E-10    1.166577E-09   -1.145231E+03   
 1.800000E-01    0.000000E+00    0.000000E+00   -1.037260E+03   
 1.850000E-01    0.000000E+00    0.000000E+00   -9.265851E+02   
 1.900000E-01    2.227813E-09   -3.251494E-09   -8.132406E+02   
 1.950000E-01    6.159386E-09   -3.275717E-09   -6.978685E+02   
 2.000000E-01    6.571789E-10   -5.430861E-10   -5.806155E+02   
 2.050000E-01    0.000000E+00    0.000000E+00   -4.617597E+02   
 2.100000E-01    0.000000E+00    0.000000E+00   -3.416174E+02   
 2.150000E-01   -1.526666E-10   -2.160742E-10   -2.204548E+02   
 2.200000E-01    0.000000E+00   -2.364806E-10   -9.856601E+01   
 2.250000E-01   -4.324409E-10    3.509965E-10    2.331857E+01   
 2.300000E-01    3.207271E-10   -1.684676E-10    1.451916E+02   
 2.350000E-01   -5.533656E-10    4.311814E-10    2.667220E+02   
 2.400000E-01    8.617013E-10   -7.496440E-10    3.875022E+02   
 2.450000E-01   -6.514794E-10    5.804385E-10    5.071981E+02   
 2.500000E-01    3.024835E-10   -2.939341E-10    6.254860E+02   
 2.550000E-01    0.000000E+00    0.000000E+00    7.420542E+02   
 2.600000E-01   -3.437035E-10    2.674719E-10    8.566066E+02   
 2.650000E-01    2.935270E-10   -3.126612E-10    9.688646E+02   
 2.700000E-01    3.666035E-10    1.943955E-09    1.078569E+03   
 2.750000E-01   -1.010450E-09   -2.544647E-09    1.185483E+03   
 2.800000E-01    4.290950E-10    1.719026E-09    1.289390E+03   
 2.850000E-01   -2.471164E-10   -7.038949E-10    1.390101E+03   
 2.900000E-01    0.000000E+00    0.000000E+00    1.487447E+03   
 2.950000E-01   -1.221129E-09    6.804860E-10    1.581288E+03   
 3.000000E-01    1.433438E-09   -9.567108E-10    1.671506E+03   
 3.050000E-01   -5.654772E-10    2.729679E-10    1.758009E+03   
 3.100000E-01    1.413082E-09   -5.361652E-10    1.840728E+03   
 3.150000E-01   -1.108156E-09    3.879768E-10    1.919619E+03   
 3.200000E-01    6.241012E-10   -2.577013E-10    1.994658E+03   
 3.250000E-01   -1.221333E-10    0.000000E+00    2.065842E+03   
 3.300000E-01    0.000000E+00    0.000000E+00    2.133188E+03   
 3.350000E-01    0.000000E+00    0.000000E+00    2.196732E+03   
 3.400000E-01    0.000000E+00    0.000000E+00    2.256523E+03   
 3.450000E-01    0.000000E+00    0.000000E+00    2.312625E+03   
 3.500000E-01    0.000000E+00    0.000000E+00    2.365116E+03   
 3.550000E-01    0.000000E+00    0.000000E+00    2.414082E+03   
 3.600000E-01    0.000000E+00    0.000000E+00    2.459619E+03   
