time,beta_dot1_x,beta_dot1_y,beta_dot1_z,beta_dot2_x,beta_dot2_y,beta_dot2_z,beta_dot3_x,beta_dot3_y,beta_dot3_z
0,0,1.00187e-10,0,0,1.92841e-11,0,0,49.0467,0
0.005,0,-0.0166475,0,0,0.0332624,0,0,49.0238,0
0.01,0,-0.00721847,0,0,0.0144995,0,0,48.9749,0
0.015,0,-0.0121795,0,0,0.0243303,0,0,48.8861,0
0.02,0,-0.00942978,0,0,0.0189823,0,0,48.7643,0
0.025,0,-0.0105944,0,0,0.0212221,0,0,48.605,0
0.03,0,-0.00977019,0,0,0.0196813,0,0,48.4093,0
0.035,0,-0.00984327,0,0,0.0197934,0,0,48.1752,0
0.04,0,-0.00946051,0,0,0.0190836,0,0,47.9019,0
0.045,0,-0.00921936,0,0,0.0186041,0,0,47.5879,0
0.05,0,-0.00887469,0,0,0.0179436,0,0,47.2317,0
0.055,0,-0.00851113,0,0,0.0172326,0,0,46.8318,0
0.06,0,-0.00810674,0,0,0.0164427,0,0,46.3864,0
0.065,0,-0.00765782,0,0,0.0155625,0,0,45.8936,0
0.07,0,-0.00717192,0,0,0.0146057,0,0,45.3516,0
0.075,0,-0.00664005,0,0,0.0135571,0,0,44.7585,0
0.08,0,-0.00606773,0,0,0.0124248,0,0,44.1123,0
0.085,0,-0.00545064,0,0,0.0112022,0,0,43.411,0
0.09,0,-0.00479132,0,0,0.00989278,0,0,42.6527,0
0.095,0,-0.00408883,0,0,0.00849555,0,0,41.8356,0
0.1,0,-0.00334489,0,0,0.00701325,0,0,40.9579,0
0.105,0,-0.00256059,0,0,0.0054483,0,0,40.0181,0
0.11,0,-0.00173815,0,0,0.00380494,0,0,39.0145,0
0.115,0,-0.00088016,0,0,0.00208834,0,0,37.946,0
0.12,0,1.005e-05,0,0,0.0003051,0,0,36.8116,0
0.125,0,0.000928524,0,0,-0.00153685,0,0,35.6103,0
0.13,0,0.00187061,0,0,-0.00342819,0,0,34.3418,0
0.135,0,0.002831,0,0,-0.00535826,0,0,33.0058,0
0.14,0,0.00380371,0,0,-0.00731503,0,0,31.6025,0
0.145,0,0.00478217,0,0,-0.00928523,0,0,30.1325,0
0.15,0,0.00575922,0,0,-0.0112544,0,0,28.5966,0
0.155,0,0.00672721,0,0,-0.0132071,0,0,26.9963,0
0.16,0,0.0076781,0,0,-0.015127,0,0,25.3333,0
0.165,0,0.00860353,0,0,-0.0169972,0,0,23.6099,0
0.17,0,0.00949496,0,0,-0.0188002,0,0,21.8285,0
0.175,0,0.0103438,0,0,-0.0205187,0,0,19.9925,0
0.18,0,0.0111415,0,0,-0.0221351,0,0,18.1051,0
0.185,0,0.0118797,0,0,-0.0236328,0,0,16.1705,0
0.19,0,0.0125507,0,0,-0.0249953,0,0,14.1928,0
0.195,0,0.0131469,0,0,-0.0262077,0,0,12.1767,0
0.2,0,0.0136618,0,0,-0.0272562,0,0,10.1273,0
0.205,0,0.0140892,0,0,-0.0281285,0,0,8.04981,0
